Date,AAPL,MSFT,NVDA,GOOGL,AMZN,META,TSLA,AVGO,JPM,V
2024-04-01,168.4965362548828,418.1519470214844,90.31202697753906,154.2154083251953,180.97000122070312,488.04144287109375,175.22000122070312,132.3230743408203,190.58595275878903,274.1673583984375
2024-04-02,167.31727600097656,415.0692138671875,89.40154266357422,153.2930450439453,180.69000244140625,494.0209045410156,166.6300048828125,131.1960906982422,190.5093231201172,274.3249816894531
2024-04-03,168.1199493408203,414.09417724609375,88.91382598876953,153.65008544921875,182.4100036621093,503.3277893066406,168.3800048828125,133.59213256835938,189.9728240966797,272.8668212890625
2024-04-04,167.29745483398438,411.5630798339844,85.85653686523438,149.2960662841797,180.0,507.4796752929688,171.11000061035156,129.11265563964844,188.52745056152344,269.9506225585937
2024-04-05,168.0505828857422,419.0875549316406,87.95836639404297,151.2499542236328,185.07000732421875,523.7890625,164.89999389648438,131.26174926757812,190.2619171142578,273.04425048828125
2024-04-08,166.9307861328125,418.1716003417969,87.08384704589844,153.58065795898438,185.19000244140625,515.753662109375,172.97999572753906,130.9354248046875,191.25440979003903,273.6550598144531
2024-04-09,168.13978576660156,419.8360900878906,85.30584716796875,155.31631469726562,185.6699981689453,513.41943359375,176.8800048828125,130.73745727539062,189.97283935546875,272.6304626464844
2024-04-10,166.26683044433594,416.8617248535156,86.98990631103516,154.86009216308594,185.9499969482422,516.3297119140625,171.75999450683594,129.58990478515625,188.35400390625,270.4234619140625
2024-04-11,173.46133422851562,421.4610900878906,90.56488800048828,158.10328674316406,189.0500030517578,519.6372680664062,174.60000610351562,135.4785919189453,188.31544494628903,271.60577392578125
2024-04-12,174.957763671875,415.5222473144531,88.13626098632812,156.43701171875,186.1300048828125,508.45306396484375,171.0500030517578,131.71646118164062,176.13560485839844,271.881591796875
2024-04-15,171.13255310058594,407.38714599609375,85.9524917602539,153.59059143066406,183.6199951171875,496.8616333007813,161.47999572753906,128.44528198242188,176.23196411132812,267.27081298828125
2024-04-16,167.85243225097656,408.31292724609375,87.3656997680664,153.13433837890625,183.32000732421875,496.3948364257813,157.11000061035156,130.24549865722656,174.2180633544922,267.3397521972656
2024-04-17,166.48484802246094,405.6143493652344,83.98759460449219,154.19558715820312,181.27999877929688,490.8424682617188,155.4499969482422,125.69544982910156,173.52426147460938,268.6600036621094
2024-04-18,165.53350830078125,398.1587524414063,84.62325286865234,154.7311248779297,179.22000122070312,498.4210205078125,149.92999267578125,123.37876892089844,174.65167236328125,267.3594970703125
2024-04-19,163.5118865966797,393.0866394042969,76.15702819824219,152.82687377929688,174.6300048828125,477.8306884765625,147.0500030517578,118.05941772460938,179.0360565185547,265.79296875
2024-04-22,164.34432983398438,394.8988342285156,79.47315216064453,154.99893188476562,177.22999572753906,478.4862365722656,142.0500030517578,119.99488830566406,182.5146026611328,268.3052673339844
2024-04-23,165.39474487304688,401.4088745117188,82.37651062011719,156.96270751953125,179.5399932861328,492.7594299316406,144.67999267578125,122.41838073730467,185.145248413086,270.0589904785156
2024-04-24,167.49566650390625,402.8763732910156,79.63206481933594,157.82557678222656,176.58999633789062,490.1769714355469,162.1300048828125,123.1661148071289,186.051025390625,270.9555358886719
2024-04-25,168.3577880859375,393.00787353515625,82.58539581298828,154.72122192382812,173.6699981689453,438.4078979492188,170.17999267578125,126.850830078125,186.33045959472656,271.09344482421875
2024-04-26,167.77313232421875,400.1778259277344,87.6855239868164,170.5404815673828,179.6199951171875,440.3050842285156,168.2899932861328,131.71646118164062,186.4460906982422,270.4629211425781
2024-04-29,171.9352569580078,396.16937255859375,87.70751953125,164.78802490234375,180.9600067138672,429.7068786621094,194.0500030517578,131.18238830566406,186.2437286376953,267.822509765625
2024-04-30,168.79383850097656,383.4446411132813,86.353271484375,161.44564819335938,175.0,427.2734375,183.27999877929688,127.42414855957033,184.75979614257807,264.6402587890625
2024-05-01,167.77313232421875,388.9698181152344,82.99415588378906,162.51681518554688,179.0,436.2326354980469,179.99000549316406,121.79806518554688,184.8753967285156,263.3693542480469
2024-05-02,171.46949768066406,391.8259887695313,85.76859283447266,165.2541961669922,184.72000122070312,438.7058410644531,180.00999450683594,121.3776397705078,184.6826934814453,263.655029296875
2024-05-03,181.7261657714844,400.5126647949219,88.7389144897461,165.86911010742188,186.2100067138672,448.9166564941406,181.19000244140625,125.2524871826172,183.5745544433593,264.52203369140625
2024-05-06,180.07122802734375,407.2886352539063,92.0880355834961,166.72206115722656,188.6999969482422,462.5442810058594,184.759994506836,128.40802001953125,185.01031494140625,268.64031982421875
2024-05-07,180.7549591064453,403.1521606445313,90.50292205810548,169.84620666503906,188.759994506836,465.0870361328125,177.80999755859375,127.70243072509766,184.76942443847656,272.374267578125
2024-05-08,181.0919189453125,404.333984375,90.36100769042967,167.99156188964844,188.0,469.417724609375,174.72000122070312,129.88388061523438,188.52745056152344,273.09344482421875
2024-05-09,182.9054107666016,406.0870971679688,88.69695281982422,168.56680297851562,189.5,472.2186584472656,171.97000122070312,127.95333099365234,190.31008911132807,274.4235534667969
2024-05-10,181.6451568603516,408.4705200195313,89.82730865478516,167.2675018310547,187.47999572753903,472.9934692382813,168.47000122070312,130.6119842529297,191.53387451171875,276.59100341796875
2024-05-13,184.8503570556641,407.4659118652344,90.3480224609375,167.75352478027344,186.57000732421875,464.8586120605469,171.88999938964844,131.0736083984375,191.49530029296875,275.2609558105469
2024-05-14,185.99151611328125,410.2630004882813,91.30447387695312,168.9436798095703,187.07000732421875,468.6727600097656,177.5500030517578,135.24049377441406,194.17410278320312,273.63531494140625
2024-05-15,188.2639617919922,417.4360046386719,94.57662200927734,171.09588623046875,185.9900054931641,478.2974548339844,173.99000549316406,140.74209594726562,194.7522888183593,277.3397216796875
2024-05-16,188.383041381836,415.3739013671875,94.30577850341795,172.75218200683594,183.6300048828125,470.04345703125,174.83999633789062,138.38619995117188,195.0991668701172,276.21453857421875
2024-05-17,188.4127960205078,414.6043395996094,92.42684173583984,174.61679077148438,184.6999969482422,468.73236083984375,177.4600067138672,136.73593139648438,197.3347320556641,276.47119140625
2024-05-20,189.57383728027344,419.6658630371094,94.7265396118164,175.4697723388672,183.5399932861328,465.6830139160156,174.9499969482422,138.57240295410156,188.45999145507807,274.931396484375
2024-05-21,190.873779296875,423.3165283203125,95.33220672607422,176.39212036132812,183.1499938964844,461.5013732910156,186.6000061035156,137.1190948486328,192.256591796875,272.3749694824219
2024-05-22,189.4348907470703,424.77679443359375,94.89644622802734,174.93417358398438,183.1300048828125,464.6301574707031,180.11000061035156,136.43702697753906,191.09060668945312,272.0097045898437
2024-05-23,185.44577026367188,421.3037414550781,103.74046325683594,172.12738037109375,181.0500030517578,462.6436462402344,173.74000549316406,136.5399169921875,189.751205444336,270.67724609375
