Date,7203.T,6758.T,6861.T,8306.T,9432.T,6501.T,7267.T,9984.T,4502.T,6902.T,7751.T,6954.T,8035.T,6857.T,8316.T,6762.T,4063.T,9433.T,3382.T,2914.T,4568.T,7011.T,7012.T,9501.T,4519.T,6506.T,6503.T,7013.T,7974.T,6367.T,8058.T,8031.T,6301.T,8801.T,5401.T,4911.T,7269.T,7741.T,9104.T,9101.T,6702.T,6752.T,6723.T,8411.T,8766.T,4543.T,6098.T,3407.T,2502.T,2802.T
2024-04-01,3468.85302734375,2589.41064453125,68905.234375,1422.361083984375,167.81092834472656,2632.739501953125,1731.7103271484375,2193.435791015625,3886.1962890625,2673.781982421875,4190.06982421875,4159.5341796875,36978.44921875,6432.2890625,2716.39453125,1447.1634521484375,6153.9443359375,2125.080322265625,2054.994873046875,3717.766845703125,4547.5302734375,1364.29443359375,927.7678833007812,901.7999877929688,5418.60400390625,6287.53564453125,2409.001708984375,564.97802734375,8084.86669921875,20437.80078125,3255.674560546875,3303.957275390625,4175.9296875,1542.71044921875,623.2415771484375,4065.160888671875,1692.4215087890625,18551.837890625,4142.12451171875,3720.6103515625,2430.966064453125,1338.0595703125,2563.476806640625,2782.508056640625,4410.13671875,2694.2421875,6598.91552734375,1024.764892578125,1750.905029296875,2762.33349609375
2024-04-02,3463.1337890625,2582.473876953125,69190.9140625,1421.8853759765625,168.4757080078125,2659.283203125,1725.15966796875,2184.98974609375,3863.770751953125,2668.047607421875,4199.40869140625,4031.935302734375,38243.24609375,6389.61181640625,2713.235595703125,1453.602294921875,6168.4765625,2124.1259765625,2041.5731201171875,3783.37451171875,4514.400390625,1378.1148681640625,927.184814453125,905.5999755859376,5293.939453125,6243.01123046875,2410.46435546875,560.3435668945312,8022.8271484375,20272.431640625,3281.362548828125,3301.571044921875,4122.380859375,1566.913818359375,636.69287109375,4064.186767578125,1695.8072509765625,18364.646484375,4058.732177734375,3641.54638671875,2442.311767578125,1321.77685546875,2648.650146484375,2769.246826171875,4451.15673828125,2657.8134765625,6569.04248046875,1020.4891357421876,1737.366455078125,2725.0576171875
2024-04-03,3450.741455078125,2577.518798828125,67604.953125,1437.10791015625,168.38075256347656,2658.300048828125,1712.058349609375,2157.913330078125,3834.803955078125,2656.10009765625,4158.3203125,4042.568359375,38252.8984375,6252.64892578125,2765.3583984375,1452.0413818359375,6097.75244140625,2110.28662109375,2043.969970703125,3746.92626953125,4556.2998046875,1342.0826416015625,919.0209350585938,925.2999877929688,5302.50390625,6097.826171875,2363.6591796875,549.108642578125,7687.0244140625,19849.279296875,3270.897216796875,3303.0029296875,4200.35595703125,1539.322021484375,623.0692138671875,3990.16845703125,1678.39453125,17916.3671875,4125.62890625,3700.384521484375,2413.700439453125,1318.9033203125,2579.5380859375,2775.87744140625,4413.9521484375,2615.9697265625,6487.3896484375,1023.3395385742188,1745.8675537109375,2691.705810546875
2024-04-04,3495.5439453125,2581.482666015625,67279.8828125,1473.7373046875,166.1964569091797,2720.2353515625,1729.8385009765625,2181.015380859375,3832.93505859375,2709.145751953125,4163.92333984375,4170.16748046875,38117.73046875,6302.27294921875,2794.420654296875,1485.796142578125,6167.5078125,2110.28662109375,2041.0936279296875,3772.440185546875,4620.60986328125,1337.6402587890625,912.9952392578124,1012.5,5301.55322265625,6183.9697265625,2368.04736328125,541.9463500976562,7767.7744140625,19747.138671875,3323.223876953125,3376.487548828125,4277.392578125,1538.8380126953125,618.7578735351562,4099.248046875,1709.3504638671875,18216.859375,4161.36865234375,3757.38427734375,2391.502197265625,1326.56591796875,2647.677001953125,2809.50439453125,4537.966796875,2663.720703125,6642.728515625,1036.1668701171875,1741.1446533203125,2718.191162109375
2024-04-05,3449.788330078125,2532.925048828125,63979.9140625,1451.3792724609375,166.1964569091797,2726.1337890625,1717.673095703125,2120.652587890625,3849.75439453125,2698.154296875,4116.29833984375,4087.034912109375,35983.98828125,5996.587890625,2761.251708984375,1447.1634521484375,5975.68115234375,2102.173828125,2051.639404296875,3734.169189453125,4541.68359375,1311.4798583984375,905.6087646484376,953.5,5173.08251953125,5975.869140625,2312.466064453125,544.3338012695312,7623.01513671875,19615.8125,3303.24462890625,3374.1015625,4197.53759765625,1539.322021484375,619.9650268554688,4033.021484375,1701.1278076171875,17167.595703125,4146.70654296875,3750.029541015625,2352.53173828125,1323.6923828125,2625.28857421875,2778.71923828125,4540.82861328125,2616.954345703125,6642.728515625,1039.017578125,1742.08935546875,2720.643310546875
2024-04-08,3525.094482421875,2536.88916015625,64452.74609375,1472.310302734375,166.67129516601562,2733.015380859375,1743.875732421875,2136.302001953125,3881.5244140625,2760.280029296875,4143.37890625,4090.901611328125,36360.53125,5923.14404296875,2796.31640625,1482.8695068359375,5998.9326171875,2102.65087890625,2069.85498046875,3735.080322265625,4551.42724609375,1317.40283203125,919.7984619140624,991.0,5134.06494140625,5927.4736328125,2373.897705078125,553.8834838867188,7738.23193359375,19581.767578125,3350.814453125,3469.53662109375,4294.30322265625,1569.3341064453125,621.1722412109375,3986.27294921875,1760.1376953125,17236.560546875,4160.4521484375,3768.41650390625,2434.912353515625,1336.622802734375,2719.709228515625,2820.3974609375,4582.802734375,2613.50830078125,6735.33447265625,1050.894775390625,1757.2022705078125,2751.54296875
2024-04-09,3599.447509765625,2552.74462890625,63901.11328125,1472.310302734375,167.90589904785156,2802.8154296875,1764.46337890625,2130.091796875,3892.7373046875,2799.944580078125,4161.12158203125,4176.93359375,37644.63671875,5985.6708984375,2810.847412109375,1504.136962890625,6265.3583984375,2111.71826171875,2089.988037109375,3767.884033203125,4525.11865234375,1357.8775634765625,925.0466918945312,1040.0,5136.92041015625,6363.0322265625,2454.83154296875,558.0966186523438,7761.86572265625,19824.958984375,3454.516357421875,3585.490234375,4330.00244140625,1585.792236328125,626.0008544921875,3980.429443359375,1777.5504150390625,17295.671875,4138.45849609375,3756.465087890625,2461.05712890625,1344.7642822265625,2687.586669921875,2828.44921875,4620.96142578125,2605.6318359375,6754.25390625,1066.5726318359375,1776.4083251953125,2788.32861328125
2024-04-10,3565.130859375,2568.599853515625,63999.62109375,1461.3690185546875,166.76626586914062,2777.2548828125,1755.5732421875,2120.155517578125,3879.65576171875,2785.130126953125,4140.57763671875,4204.966796875,37934.28515625,5924.13671875,2793.1572265625,1485.4058837890625,6315.73681640625,2086.425537109375,2056.43310546875,3756.949462890625,4413.06298828125,1321.84521484375,903.4705810546876,1077.0,4982.75537109375,6388.1982421875,2444.105224609375,527.76220703125,7669.298828125,19844.4140625,3405.0439453125,3498.167236328125,4242.63232421875,1566.913818359375,624.9661254882812,3905.437255859375,1766.9093017578125,16985.326171875,4181.529296875,3765.658447265625,2434.4189453125,1352.4267578125,2666.171630859375,2820.871337890625,4526.51953125,2574.1259765625,6702.474609375,1074.1739501953125,1755.3131103515625,2766.25732421875
2024-04-11,3604.213623046875,2547.78955078125,63694.24609375,1486.5814208984375,166.48135375976562,2859.835205078125,1752.765869140625,2098.295654296875,3867.50830078125,2819.06005859375,4151.783203125,4254.2666015625,37577.05078125,5920.16748046875,2856.336669921875,1489.8935546875,6336.08251953125,2054.451416015625,1957.6859130859373,3762.416748046875,4412.087890625,1369.230224609375,927.5736083984376,1072.5,4983.70654296875,6326.251953125,2525.039306640625,541.2440795898438,7605.28955078125,19727.68359375,3422.1689453125,3511.05078125,4269.87646484375,1503.9853515625,622.7243041992188,3864.5322265625,1763.5234375,16709.462890625,4198.94091796875,3761.061767578125,2461.55029296875,1348.5955810546875,2653.517333984375,2886.230712890625,4563.7236328125,2525.390625,6685.54638671875,1071.798583984375,1732.6436767578125,2736.8291015625
2024-04-12,3590.8681640625,2584.45556640625,63930.6640625,1474.6888427734375,166.38638305664062,2871.632568359375,1758.3807373046875,2107.7353515625,3874.049072265625,2836.263916015625,4204.07763671875,4247.50048828125,38137.04296875,5971.77587890625,2831.06494140625,1505.5025634765625,6328.33154296875,2058.746337890625,1916.9407958984373,3797.9541015625,4513.42578125,1373.178955078125,928.5454711914062,1046.5,4983.70654296875,6219.7822265625,2506.512451171875,541.3846435546875,7617.10693359375,19683.908203125,3441.19677734375,3544.93017578125,4289.60546875,1621.61279296875,620.482421875,3952.185302734375,1778.517822265625,16739.017578125,4169.6162109375,3743.593994140625,2483.748779296875,1353.863525390625,2602.900146484375,2879.60009765625,4573.26318359375,2578.064208984375,6718.4072265625,1053.7452392578125,1753.7388916015625,2752.03369140625
