Date,0700.HK,9988.HK,0005.HK,1299.HK,2318.HK,0941.HK,1810.HK,0388.HK,0027.HK,0003.HK,0016.HK,0883.HK,0857.HK,1211.HK,0002.HK,1038.HK,0006.HK,0012.HK,0017.HK,1816.HK,2899.HK,0386.HK,1928.HK,0001.HK,0066.HK,2388.HK,0688.HK,1113.HK,0823.HK,0175.HK,2269.HK,9618.HK,9999.HK,3690.HK,6098.HK,0968.HK,1024.HK,2382.HK,0241.HK,0285.HK
2024-04-02,303.89910888671875,70.65827941894531,55.12073516845703,50.933685302734375,29.937170028686523,59.70123672485352,16.280000686645508,219.9851837158203,39.03324890136719,5.3067708015441895,70.4701156616211,16.598648071289062,6.177207946777344,65.79714965820312,57.34404373168945,41.83056640625,40.81315231323242,19.926219940185547,8.5,2.190935134887696,15.521088600158691,4.079020977020264,22.35074615478516,35.132530212402344,23.647438049316406,20.00933074951172,10.84829044342041,28.953834533691406,28.763750076293945,9.062788963317873,14.199999809265137,107.9671630859375,150.60025024414062,101.4000015258789,4.389839172363281,5.888980388641357,49.72296905517578,39.74147033691406,3.069999933242798,27.832311630249023
2024-04-03,303.1128234863281,70.01140594482422,54.67549133300781,50.17631149291992,29.6722354888916,59.52500534057617,15.5600004196167,214.72056579589844,38.652435302734375,5.288812160491943,68.85910034179688,16.58131980895996,6.203163146972656,64.36819458007812,57.02546310424805,41.51503372192383,40.23329544067383,19.66743850708008,8.430000305175781,2.18165135383606,16.09523582458496,4.061513900756836,22.204980850219727,34.908180236816406,23.238155364990234,19.57340240478516,10.775727272033691,28.73076820373535,29.23740577697754,8.890164375305176,14.039999961853027,104.0599365234375,148.61343383789062,98.9499969482422,4.416661262512207,5.721255779266357,48.87852478027344,38.80463409423828,2.970000028610229,26.57816696166992
2024-04-05,304.6853942871094,69.71286010742188,55.87763595581055,50.79167938232422,29.05406951904297,59.17251586914063,15.539999961853027,212.84034729003903,38.652435302734375,5.270853042602539,68.44483947753906,16.71993064880371,6.159904956817627,64.27076721191406,56.11523818969727,41.51503372192383,40.32250213623047,19.62430763244629,8.5,2.172368049621582,16.056961059570312,3.96522855758667,22.059215545654297,34.324886322021484,22.965301513671875,19.57340240478516,10.88457202911377,28.86460304260254,29.23740577697754,9.014837265014648,13.359999656677246,102.5648193359375,148.81211853027344,100.4000015258789,4.228908538818359,5.982160568237305,49.32558441162109,37.62126541137695,2.799999952316284,26.047569274902344
2024-04-08,300.1642150878906,70.06117248535156,56.27835464477539,49.51359939575195,28.74498176574707,59.83341979980469,15.5,214.5325469970703,38.652435302734375,5.324729919433594,68.5368881225586,16.56399154663086,6.237768650054932,65.60230255126953,56.02421569824219,40.88397216796875,40.27790451049805,19.581178665161133,8.609999656677246,2.2466371059417725,16.03782081604004,4.000241756439209,21.71909523010254,34.41461944580078,23.101730346679688,19.66058349609375,10.812007904052734,28.953834533691406,29.75411796569824,9.024428367614746,14.079999923706056,101.9667739868164,150.30223083496094,99.4000015258789,4.380898952484131,5.749210357666016,49.32558441162109,38.01572036743164,2.809999942779541,25.75815391540528
2024-04-09,299.7711181640625,70.16069030761719,56.90169143676758,49.41893005371094,28.56836128234864,59.96559524536133,15.979999542236328,217.35289001464844,38.89044570922852,5.396564483642578,68.5368881225586,16.3387508392334,6.203163146972656,67.29106903076172,56.47932434082031,41.199501037597656,40.90236282348633,20.18500518798828,8.880000114440918,2.2652041912078857,16.076095581054688,3.96522855758667,21.71909523010254,34.41461944580078,23.37458610534668,19.878551483154297,10.957136154174805,28.953834533691406,29.624940872192383,9.187461853027344,14.399999618530272,101.26905059814452,156.46133422851562,99.6999969482422,4.345136642456055,6.056704521179199,49.27590560913086,38.853946685791016,2.890000104904175,25.854625701904297
2024-04-10,308.8133850097656,73.59408569335938,57.70312881469727,49.229583740234375,28.74498176574707,60.758670806884766,16.0,220.5492553710937,38.93804931640625,5.441460609436035,69.31939697265625,16.598648071289062,6.384845733642578,68.65507507324219,57.571590423583984,41.69533920288086,41.303802490234375,20.48691749572754,8.829999923706055,2.2930550575256348,16.91817855834961,4.03525447845459,21.71909523010254,34.45948791503906,23.601964950561523,20.270891189575195,11.120405197143556,29.08766746520996,29.624940872192383,9.417628288269045,14.34000015258789,106.0534210205078,157.75277709960938,103.8000030517578,4.354077339172363,5.96352481842041,49.77264022827149,40.03731155395508,2.890000104904175,26.96405982971192
2024-04-11,309.59967041015625,73.84288024902344,57.74764633178711,48.85089111328125,28.700828552246094,60.53837203979492,16.079999923706055,219.9851837158203,38.652435302734375,5.450440406799316,68.39881134033203,16.771909713745117,6.402148723602295,68.72003173828125,56.79790878295898,41.60518646240234,40.59012985229492,20.40065574645996,8.449999809265137,2.311622381210327,16.994731903076172,4.026501178741455,21.71909523010254,33.96592712402344,23.37458610534668,20.096519470214844,10.957136154174805,28.81999397277832,28.720687866210938,9.3888578414917,14.100000381469728,105.45537567138672,152.98443603515625,104.5,4.264670848846436,5.85170841217041,49.32558441162109,40.87553024291992,2.8399999141693115,26.57816696166992
2024-04-12,304.292236328125,71.30516052246094,56.81264114379883,46.01072692871094,27.067089080810547,59.83341979980469,16.5,214.5325469970703,37.890811920166016,5.324729919433594,67.24809265136719,16.546667098999023,6.3329362869262695,68.2653579711914,55.978702545166016,40.11767578125,39.74264526367188,20.271265029907227,8.109999656677246,2.283771514892578,17.0712833404541,4.000241756439209,21.330385208129883,33.4275016784668,22.737924575805664,19.83495712280273,10.521753311157228,28.418476104736328,27.730323791503903,9.072380065917969,13.899999618530272,102.0664520263672,150.10353088378906,102.0999984741211,4.076918125152588,5.656030178070068,48.82884979248047,40.53038024902344,2.75,25.854625701904297
2024-04-15,299.181396484375,70.06117248535156,56.8571662902832,44.7326545715332,26.80215644836425,60.31807327270508,16.520000457763672,210.96014404296875,36.84358215332031,5.234936714172363,65.6370849609375,16.78923225402832,6.471360683441162,67.61583709716797,55.88768005371094,39.17108154296875,39.29660034179688,20.22813606262207,8.0,2.348756790161133,16.9755916595459,4.070267677307129,20.358613967895508,32.93394088745117,22.510541915893555,19.747772216796875,10.358485221862791,28.329248428344727,27.773380279541016,8.880575180053711,13.579999923706056,100.87035369873048,144.6398162841797,101.5999984741211,4.032215595245361,5.506941795349121,48.43146133422852,39.10047912597656,2.720000028610229,24.841663360595703
2024-04-16,296.6259460449219,68.12055206298828,55.56596755981445,43.54924392700195,26.40475845336914,59.78935623168945,15.920000076293944,204.5674285888672,35.03472137451172,5.100246906280518,64.02607727050781,16.46003532409668,6.514618873596191,66.64154052734375,55.2960319519043,38.40478515625,38.58292388916016,20.012481689453125,7.949999809265137,2.358040571212769,16.59282875061035,3.991488456726074,19.14389991760254,32.12629318237305,21.96483039855957,19.616992950439453,10.376626014709473,27.927732467651367,26.91219139099121,8.564096450805664,13.039999961853027,98.52800750732422,141.36158752441406,98.6999969482422,3.933868646621704,5.218083381652832,46.79224395751953,36.5858154296875,2.619999885559082,23.876937866210938
