ticker
SHEL.L
AZN.L
HSBA.L
ULVR.L
BP.L
GSK.L
RIO.L
REL.L
DGE.L
AAL.L
LSEG.L
CRH.L
BA.L
GLEN.L
NG.L
RR.L
LLOY.L
BARC.L
PRU.L
CPG.L
EXPN.L
III.L
ABF.L
ANTO.L
SSE.L
NWG.L
FRES.L
WPP.L
IHG.L
BT.A.L
JD.L
BRBY.L
DRX.L
EDV.L
DARK.L
AHT.L
IMB.L
MNG.L
SVT.L
VOD.L
TSCO.L
BDEV.L
TW.L
SGE.L
AUTO.L
SGRO.L
PSN.L
MNDI.L
PSON.L
SMT.L
