Date,SHEL.L,AZN.L,HSBA.L,ULVR.L,BP.L,GSK.L,RIO.L,REL.L,DGE.L,AAL.L,LSEG.L,CRH.L,BA.L,GLEN.L,NG.L,RR.L,LLOY.L,BARC.L,PRU.L,CPG.L,EXPN.L,III.L,ABF.L,ANTO.L,SSE.L,NWG.L,FRES.L,WPP.L,IHG.L,JD.L,BRBY.L,DRX.L,EDV.L,AHT.L,IMB.L,MNG.L,SVT.L,VOD.L,TSCO.L,TW.L,SGE.L,AUTO.L,SGRO.L,PSN.L,MNDI.L,PSON.L,SMT.L
2024-04-02,2714.856689453125,10600.005859375,620.5032958984375,4205.421875,508.0317687988281,1661.679443359375,5110.75341796875,3354.861083984375,2953.22314453125,2001.9071044921875,9421.57421875,6655.419921875,1330.4354248046875,448.1694946289063,1071.90087890625,418.8479614257813,51.90769577026367,184.0267791748047,739.6590576171875,2252.11328125,3392.11669921875,2791.8564453125,2463.2958984375,2065.399169921875,1631.906982421875,266.8052673339844,505.1401977539063,735.37646484375,106.96949768066406,133.0244598388672,1170.97998046875,492.7639770507813,1624.3975830078125,5604.0712890625,1758.0018310546875,212.9477386474609,2486.720703125,70.21361541748047,294.6800231933594,132.6964874267578,1248.5469970703125,692.2120971679688,877.0530395507812,1268.89501953125,1371.1070556640625,1024.539306640625,865.9224243164062
2024-04-03,2745.332275390625,10558.0224609375,630.1892700195312,4145.572265625,511.0284118652344,1652.6866455078125,5071.80126953125,3322.8720703125,2923.2412109375,2008.2811279296875,9357.591796875,6719.39599609375,1319.93994140625,458.0644226074219,1068.90380859375,423.94732666015625,52.327274322509766,188.44454956054688,720.068115234375,2248.11474609375,3364.123779296875,2804.851318359375,2468.292724609375,2099.3896484375,1612.4200439453125,272.3990783691406,523.6270141601562,734.777099609375,106.65380096435548,131.92466735839844,1184.9737548828125,482.7728271484375,1652.369873046875,5598.0732421875,1762.496337890625,212.5484161376953,2476.729736328125,71.11250305175781,293.3809509277344,132.79635620117188,1248.5469970703125,701.0096435546875,877.8523559570312,1271.892333984375,1372.106201171875,1021.0407104492188,873.9216918945312
2024-04-04,2761.819580078125,10731.9560546875,640.7740478515625,4138.09228515625,508.3314514160156,1636.1995849609375,5087.78173828125,3311.875732421875,2908.25,2069.56884765625,9411.578125,6731.39013671875,1312.4429931640625,463.3117370605469,1070.90185546875,418.9479675292969,53.90568542480469,193.06222534179688,727.66455078125,2220.126220703125,3400.1142578125,2817.845947265625,2487.279296875,2197.361083984375,1624.4119873046875,280.1904602050781,540.1152954101562,737.5740356445312,105.43865203857422,131.52474975585938,1181.4752197265625,494.5623779296875,1667.3551025390625,5740.02490234375,1753.007080078125,211.1507263183593,2483.723388671875,70.01386260986328,292.0819396972656,133.94503784179688,1247.047607421875,700.6098022460938,883.6474609375,1292.3746337890625,1419.474609375,1017.0426025390624,883.9207763671875
2024-04-05,2777.806884765625,10616.0,640.4744262695312,4100.68701171875,505.5345764160156,1628.2060546875,4968.42724609375,3316.8740234375,2847.786376953125,2047.5050048828125,9375.5869140625,6769.37548828125,1325.4373779296875,457.864501953125,1031.94189453125,421.0476989746094,53.26633071899414,189.6439666748047,717.269287109375,2220.126220703125,3390.116943359375,2808.849609375,2412.3310546875,2193.3623046875,1588.4361572265625,278.0927429199219,541.6141357421875,721.991455078125,104.378173828125,126.22576141357422,1158.9852294921875,483.77197265625,1705.3175048828125,5700.0380859375,1723.041259765625,208.0558319091797,2425.776611328125,68.49571990966797,289.38397216796875,132.19705200195312,1246.5477294921875,697.2107543945312,866.2622680664062,1276.8880615234375,1397.490478515625,1014.543701171875,857.5231323242188
2024-04-08,2811.7802734375,10606.00390625,643.5699462890625,4079.312255859375,509.3302917480469,1618.713623046875,5177.671875,3297.880615234375,2820.802734375,2113.2060546875,9233.623046875,6765.3779296875,1336.9324951171875,466.5600280761719,1036.437255859375,429.0466918945313,53.66592788696289,193.0821990966797,719.6681518554688,2213.12890625,3374.12109375,2821.843994140625,2408.333740234375,2214.356201171875,1605.9244384765625,277.9928894042969,555.6041870117188,736.5751342773438,105.6242446899414,124.42610931396484,1189.4716796875,488.16802978515625,1701.321533203125,5734.02685546875,1730.5328369140625,208.85452270507807,2379.818603515625,68.41582489013672,287.78515625,133.19590759277344,1212.060302734375,693.0118408203125,871.4578247070312,1279.3858642578125,1415.4774169921875,1009.5458984375,883.9207763671875
2024-04-09,2826.2685546875,10703.966796875,643.7696533203125,4083.5869140625,516.0228271484375,1614.7166748046875,5244.59033203125,3318.87353515625,2807.310791015625,2148.99755859375,9187.6357421875,6597.4423828125,1276.458251953125,472.7568359375,1031.4422607421875,412.1488037109375,52.80679321289063,188.8043670654297,720.068115234375,2198.134521484375,3369.12255859375,2775.86328125,2421.3251953125,2268.340576171875,1605.4248046875,275.6954040527344,577.5885620117188,750.3597412109375,104.21910095214844,124.6260757446289,1187.972412109375,487.3687438964844,1749.2742919921875,5740.02490234375,1698.0697021484375,207.4568328857422,2379.818603515625,67.93640899658203,287.2855224609375,131.64768981933594,1204.5631103515625,689.412841796875,872.8566284179688,1275.8887939453125,1422.971923828125,1000.5499877929688,876.12158203125
2024-04-10,2866.73681640625,10727.9580078125,662.2430419921875,4079.312255859375,519.5189819335938,1619.7127685546875,5228.609375,3307.877197265625,2823.30126953125,2103.89013671875,9267.6142578125,6641.42529296875,1274.9588623046875,467.7594299316406,1019.9541015625,408.4492492675781,53.0665283203125,189.3840789794922,711.6719360351562,2218.126708984375,3306.138916015625,2825.843017578125,2427.32080078125,2242.34814453125,1586.4373779296875,278.0927429199219,578.587890625,754.355224609375,104.72282409667967,124.07617950439452,1198.4677734375,482.7728271484375,1750.2734375,5766.015625,1678.0924072265625,206.6581420898437,2358.837890625,67.07747650146484,296.7784729003906,129.74989318847656,1208.5616455078125,689.212890625,860.6669921875,1264.39892578125,1421.97265625,1005.5477294921876,871.3219604492188
2024-04-11,2854.74609375,10957.87109375,645.7666625976562,4075.037353515625,519.4190063476562,1627.7064208984375,5223.61572265625,3317.87353515625,2803.31298828125,2082.316650390625,9303.603515625,6643.4248046875,1285.4544677734375,461.9124450683594,1012.4617309570312,406.8494262695313,50.62654113769531,183.5470428466797,716.2698364257812,2176.1435546875,3315.136474609375,2817.845947265625,2404.3369140625,2217.35546875,1607.4234619140625,272.1993103027344,578.0882568359375,761.7469482421875,104.59026336669922,122.52648162841795,1189.4716796875,496.7604675292969,1756.267333984375,5770.0146484375,1704.5623779296875,203.762939453125,2347.84814453125,66.63801574707031,281.7896423339844,130.0994873046875,1202.06396484375,691.6122436523438,861.6661376953125,1264.39892578125,1416.9764404296875,1002.549072265625,852.1237182617188
2024-04-12,2934.68310546875,11059.83203125,652.4571533203125,4055.800048828125,538.4976806640625,1642.1949462890625,5368.4384765625,3337.866943359375,2782.32568359375,2158.80419921875,9311.603515625,6699.40380859375,1317.9407958984375,485.4503479003906,1036.437255859375,404.6497192382813,50.94633102416992,182.76744079589844,706.0745239257812,2181.141357421875,3310.137939453125,2827.842041015625,2404.3369140625,2265.34130859375,1665.88427734375,274.19708251953125,622.0569458007812,764.7435913085938,103.45024871826172,118.67721557617188,1168.9808349609375,510.0486755371094,1841.1834716796875,5794.00634765625,1713.0526123046875,200.06906127929688,2393.8056640625,67.13739776611328,282.6889343261719,134.4444580078125,1180.0718994140625,687.21337890625,857.070068359375,1280.884521484375,1409.9814453125,1005.0479125976562,861.1228637695312
2024-04-15,2887.220458984375,11019.84765625,650.160400390625,4029.08203125,526.7108154296875,1642.1949462890625,5403.39599609375,3352.86181640625,2768.334228515625,2126.9345703125,9267.6142578125,6551.46044921875,1336.9324951171875,481.4023742675781,1023.9500122070312,406.7494812011719,51.1262092590332,183.0472717285156,709.27294921875,2173.14453125,3313.136962890625,2849.833251953125,2406.33544921875,2274.3388671875,1648.8956298828125,276.4945373535156,597.5744018554688,763.5449829101562,104.40467834472656,119.57704162597656,1164.9825439453125,504.5535278320313,1710.312744140625,5698.03955078125,1728.03564453125,201.2670745849609,2377.8203125,67.05748748779297,286.08642578125,133.99497985839844,1177.57275390625,693.0118408203125,856.4705810546875,1297.3702392578125,1402.4869384765625,1004.0484008789062,866.1224365234375
